Status,Label
Apaan ini personal bgt,Negatif
"Status hasil menggambar, status sedang ngopi atau sedang nyantay",Netral
Saya tidak pernah unggah status di FB,Negatif
"Aku tidak pernah tau usaha apa yang akan menaikan derjatku,tapi aku percaya tuhan akan memberi kesempatan itu padaku",Negatif
Vip888-Auto JPğŸ¤§ğŸ‰ğŸ‰,Negatif
Ganyang fufufafa!!! ğŸ˜ˆ,Negatif
Koboy facebook menyerang ğŸ¤¢,Negatif
"Teruntuk kalian yang sudah umur 20an, ada saran gak buat kami yang umur 17/18 biar gak nyesel di umur 20anğŸ™‡",Negatif
Pengertian tentang cinta,Netral
Gini amat ya kalau udah kerja susah banget dapet pasangan ğŸ¤£ğŸ¤£,Negatif
The real cari masalah ğŸ¤£,Negatif
Tidak pernah,Negatif
Merasa senang karena memiliki temam-teman sekelas yang baik,Positif
"hargailah hal sekecil apapun, karna kamu akan menyesal apabila telat menghargai",Positif
Bagiin momen indah sama keluarga & send quotes yang related dengan keadaan ,Positif
emotikon,Netral
"""Tuntutlah ilmu sejak dari buaian (ketika masih bayi) hingga liang lahat (sampai meninggal dunia).""",Netral
Konten,Netral
Suasana di pantaiii,Netral
Stalking my posts won't tell you anything. Because my accountÂ isÂ useless,Negatif
Tidak ada ,Negatif
Pusing,Negatif
Lebih sering share postingan yang lucu atau pun relate dan posting foto kenangan dengan pasangan,Netral
membuat kata kata bijak ,Positif
ğŸ’¤ğŸƒğŸ‘ğŸ¢ğŸ¤ğŸ¼ğŸ¦“,Netral
"Statusnya :
Mau seberapa jauh kamu berusaha, kalo dia gak mau berubah, semuanya sia-sia",Negatif
Share postingan yang sesuai dengan suasana hati seperti senang dan sedih,Netral
Kangquen kamoe,Netral
Someone please hold my tears:),Negatif
ğŸ™‚,Negatif
"Hidup adalah berkah, maka jalani dan nikmati",Positif
https://www.facebook.com/share/p/1EjyXj8bEg/,Netral
ğŸ¥°ğŸ¥°ğŸ¥°,Positif
Bahagia ,Positif
"Postingan terakhir Facebook saya adalah kalimat:

Without syntax, language is just words.
Parsing gives structure to meaning.

 Ini adalah motivasi untuk diri Saya. Dalam teori bermakna Tanpa sintak bahasa hanya kalimat. Maka dibutuhkan Parsing sebagai penyempurna kalimat supaya mudah dimengerti. Tapi bagi kalimat ini bermakna apa yang kamu lakukan hanyalah usaha agar bergerak alias buang buang tenaga. Tanpa tujuan dan visi misi yang jelas itu tidak berarti. Artinya (Berhubung saya sedang skripsian) Saya harus lebih semangat mengerjakan skripsi Saya jangan asal mengerjakan. Semua harus terstruktur dengan tujuan, visi misi projek skripsi yang selain untuk lulus itu juga bisa berguna dan jelas. ",Positif
Tidak pernah ,Negatif
Gambar saya sendiri tidak pake kalimat,Netral
Bahagia ,Positif
"Sedih
",Negatif
Sepi..ğŸ˜“,Negatif
Bahagia,Positif
tft :*,Positif
"Gak pernah bikin status postingan di fb secara text, ",Netral
status kata kata aja lupa soalnya udh gaada fb,Netral
â˜ºï¸,Positif
"Aku Rindu â¤ğŸ˜¥
Hampir 3 semester kita lalui, saling bertegur sapa hanya lewat pesan WAğŸ˜¥
Waktu berlalu begitu cepat, tanpa banyak cerita bersama yang kita dapat ğŸ˜¥ Kelas 12 yang identik dengan masa masa kebersamaan, masa masa mengukir kenangan, kita lalui begitu saja.",Negatif
Aku cinta kamu,Positif
Foto menggambarkan kesehatan berolahraga ,Netral
Selamat pagi semua,Netral
"Hidup bukan tentang siapa yang tercepat, tapi siapa yang paling konsisten melangkah",Positif
Selamat hari raya idul fitri ,Netral
Kenapa kehidupan itu mimpi,Negatif
"Tidak membuat status di Facebook , terakhir buat status buat simpan foto ",Netral
"We cannot choose how we are born, but we can choose how our life journey will be. ",Positif
"Sangt snang ketika aku mndpt sesuatu apresiasi,, mski itu skalipun sderhna",Positif
"Attitude bukan tentang lebih tua atau lebih muda, tapi memanusiakan manusia.
untuk dihargai juga harus menghargai manusia lainnya.
berperilaku lah seperti mana ingin diperlakukan.
Kita semua punya batas, entah itu batas sabar, wajar, ataupun sadar. karna ngga semua orang bisa terus terusan memaklumi hal yang sama berulang kali.
Yang susah itu intropeksi.
yang paling mudah itu menghakimi.
tapi yang harus tetap dijaga adalah sadar diri dan harga diri.
bersikap menghargai dan tidak melukai. menjaga etika rasa dan etika bahasa.
Padahal,
empati itu bukan soal setuju. bukan soal menyamakan nilai hidup. empati, barangkali
saat kita mau coba bertanya:
""Bagaimana jika aku ada diposisinya",Negatif
"Cukupi wacana, jalanin aja ",Negatif
"Alam merupakan guru terbaik, karena setiap adegan petualangan pasti akan mengajarkan ilmu yang sangat berharga untuk kita.",Positif
ğŸ˜Š,Positif
ğŸ˜Š,Positif
"when given the choice between right or being kind, choose kind",Positif
teman rasa pacar ,Netral
Happy Graduation ,Positif
foto selfie,Netral
p dimana anes kadinya,Netral
Penuh Bahagia,Positif
bucin,Netral
"Semua status  pernah saya unggah,waktu saya masih duduk di bangku SMP,setelah itu saya sudah jarang mengunakan Facebook lagi ",Netral
"Dengan seni hidup menjadi indah, dengan agama hidup menjadi terarah, dan dengan akhlak hidup menjadi berkah",Positif
tidak ada,Negatif
Hari ini saya merasa stress,Negatif
"Status yang saya gunakan biasanya buat meme, suasana lebih ke bahagia",Positif
COD pod,Netral
Bahagia,Positif
ke binjas bersama teman ,Netral
Bahagia,Positif
"Jshsuhs
",Netral
cekrek lagi mau ngaji,Netral
"Tetap dukung bakatnya, Setidaknya beliau sudah berusaha membuat malu keluarganya",Negatif
"Jika turun hujan
Cobalah untuk keluar ruangan...
Hitung dan rasakan
Titik air hujan yang turun dari langit.
Sebanyak itulah aku bersyukur memiliki sahabat seperti kalian.",Positif
Bahagia,Positif
Malam minggu duduk aja d depan teras rumah,Netral
Sering membuat meme timpa posting atau membuat meme itu sendiri,Netral
"Aku kaya cape ajah ko idup aku gini gini ajah ngga ada perubahan

Kan kamu tau sendiri aku mah ngga bisa bantu apa apa",Negatif
"""talent is nothing without hardwork.""",Positif
Hidup itu bergantung pada moral masyarakat.,Positif
Saya pernah membuat status di facebook tentang perasaan yang sedang saya rasakan. Saya juga pernah membuat status dan menganggap foto saat liburan.,Netral
Saya pernah memposting kebersamaan ketika suasana lebaran idul Fitri dan idul Adha ,Positif
Persib harga mati,Netral
ğŸ¤§ğŸ™‚,Negatif
Never give up,Positif
Penjualan ,Netral
pernah menulis bahagia ,Positif
ğŸ™‚,Negatif
"""Banyak yang singgah, namun sulit memastikan yang sungguh""",Negatif
you got nowhere to run,Negatif
"1 Mei 2025 â€” Untuk Mereka yang Tak Pernah Berhenti Berjuang

Hari ini adalah pengingat bahwa kerja bukan sekadar kewajibanâ€”ia adalah bentuk keberanian, pengorbanan, dan cinta diam-diam kepada hidup.

Namun keberanian itu tak boleh terus-menerus ditukar dengan ketidakadilan.
Kasih sayang tidak berarti membiarkan diri ditindas.
Dan cinta damai bukan alasan untuk membisu di hadapan ketimpangan.

Buruh bukan alat. Mereka adalah manusia.
Manusia yang pantas diperlakukan dengan adil, didengar, dan dihargai.

Jika dunia tak berubah, maka biarlah kita yang menggerakkannya.
Bukan dengan amarah yang membakar segalanya,
tapi dengan kekuatan yang lahir dari niat tulus:
melindungi, membebaskan, dan menghidupkan kembali martabat manusia.

Selamat Hari Buruh.
Untuk semua yang memilih tetap baikâ€”meski dunia kerap tak adil.

#mayday #hariburuhsedunia #hariburuh2025",Positif
"Gabut cuy, infokan mabar ",Netral
ungga foto no caption,Netral
"Kadang lelah bukan karena pekerjaan, tapi karena hati yang terus berusaha kuatğŸ˜”
",Negatif
Kapan nyusul...???,Netral
Status barcelona menang telak lawan real madrid ,Positif
"Bade sate ayam, sate kambing, atanapi saterasna sareng abiğŸ™‚",Netral
bahagia,Positif
"Keberkahan ilmu bukan diukur dari seberapa lama kamu berada di pondok
Melainkan seberapa besar cintamu terhadap guru",Positif
tidak pernah punya facebook,Negatif
,
Diumur segini kalo gak enak badan malah plis jangan drop dulu ,Negatif
Tidak main facebook,Negatif
"paling tentang fast and furious saja, yang kehilangan temannya ",Negatif
Jangan lupa bersyukur untuk hari ini,Positif
yep,Netral
ğŸ’¦,Netral
"Tidak pernah buat status ,only for buy something ",Negatif
Be yourself,Positif
main dulu kita,Netral
"Aku senang menulis sesuatu, seperti menulis puisi ataupun cerita",Positif
Kadang aku sering bingung :(,Negatif
paling foto,Netral
ğŸŒ»,Positif
Blm pernah,Netral
semua orang menyebalkan! i hate everyone!,Negatif
:),Negatif
"Open bom like 
Open pm
Open bl 
Adm nih bos artis dunia maya",Netral
Penuh dengan rasaa bersyukur,Positif
otw pondok ,Netral
"""Hari yang bahagia yang penuh cerita""",Positif
"Aku sangat bahagia sekali, kadang hal-hal kecil bisa membuat aku tertawa lepas",Positif
Hallo ğŸ™ŒğŸ»,Netral
Di setiap usaha pasti ada hasil ,Positif
Cape aja gtu,Negatif
Sangat optimisasiğŸ¤£,Positif
Berkaryalah tanpa batas!!!!,Positif
"Kalo sepi posting lagih
Gagal coba lagih. 
Karna yang sukses ituh pasti berawal dari ke ggalan. 
Selamat malam besti ku. ğŸ˜Š",Positif
Laki laki tidak bercerita,Netral
BismilahhhhğŸ’ªğŸ»ğŸ’ªğŸ»ğŸ’ªğŸ»,Positif
"Beda generasi, satu frekuensi",Positif
smoga dri lelah perjuangan ku ini ada hasil nyağŸ’ª,Positif
"semua butuh doa selebihnya biar allah yang jamin 

#shanjaydms
#fypseindonesia
#sorotansemuaorang",Positif
info freelance yg amanah,Netral
Ronaldo tidak seperti Messi ğŸ˜­,Negatif
"Semakin kesini semakin akrab sama kata-kata sabar, jalanin aja, wios tenanaon.",Negatif
"Udh ke buronan bank tiap hari ada ajj yg telp ini nomor udh gk aman ğŸ˜’ ganggu tiap hari kalo tlp buat transfer duit si boleh"" ajj yg gk pnting bgini geraaaahhhhhğŸ¤­ğŸ¤­",Negatif
"Sebenarnya aku juga bisa sepertimu, tapi aku tidak setega kamu.",Negatif
"Manusia selalu menginginkan yang terbaik, tetapi lupa untuk menjadi baik.",Negatif
"5 kata untuk diriku sekarang, sabar, ikhlas, berdoa, kuat, semangat.ğŸŒ»",Negatif
"Mulai sekarang harus ingatkan ke diri sendiri untuk jangan bereksprektasi terlalu tinggi terhadap apapun dan siapapun, ingat manusia itu sumber kecewa dan berubah tiba-tiba.",Negatif
Ohh malam minggu.,Netral
"berprasangka baiklah, kepada semua orang, tapi jangan kau sangka semua orang itu baik..",Negatif
Pertemuan adalah ngopi yaww,Netral
Ya allah cocoba hiji demi hiji gusti nu agungğŸ˜­ğŸ˜­ğŸ˜­,Negatif
"Bangun pagi masih di beri nafas dan kesehatan ,
Itulah Rezeki yang tak ternilai...

#fyp #viral",Positif
"""Bismillah ruangan 19""",Netral
ğŸ˜,Positif
Pagi yang cerah sangat indah,Positif
